path,SkimSeek_ID,ProjectID,IID,NewID
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//110210.vcf.gz,110210,SeminThermoSSK,110210,SeminThermoSSK_110210
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//110213.vcf.gz,110213,SeminThermoSSK,110213,SeminThermoSSK_110213
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//110215.vcf.gz,110215,SeminThermoSSK,110215,SeminThermoSSK_110215
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//110222.vcf.gz,110222,SeminThermoSSK,110222,SeminThermoSSK_110222
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1150014.vcf.gz,1150014,MAB_BRASSK,1150014,MAB_BRASSK_1150014
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1150039.vcf.gz,1150039,MAB_BRASSK,1150039,MAB_BRASSK_1150039
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1150062.vcf.gz,1150062,MAB_BRASSK,1150062,MAB_BRASSK_1150062
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1150256.vcf.gz,1150256,MAB_BRASSK,1150256,MAB_BRASSK_1150256
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1150297.vcf.gz,1150297,MAB_BRASSK,1150297,MAB_BRASSK_1150297
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170012.vcf.gz,1170012,MAB_BRASSK,1170012,MAB_BRASSK_1170012
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170021.vcf.gz,1170021,MAB_BRASSK,1170021,MAB_BRASSK_1170021
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170050.vcf.gz,1170050,MAB_BRASSK,1170050,MAB_BRASSK_1170050
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170060.vcf.gz,1170060,MAB_BRASSK,1170060,MAB_BRASSK_1170060
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170061.vcf.gz,1170061,MAB_BRASSK,1170061,MAB_BRASSK_1170061
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170087.vcf.gz,1170087,MAB_BRASSK,1170087,MAB_BRASSK_1170087
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170202.vcf.gz,1170202,MAB_BRASSK,1170202,MAB_BRASSK_1170202
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170203.vcf.gz,1170203,MAB_BRASSK,1170203,MAB_BRASSK_1170203
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170204.vcf.gz,1170204,MAB_BRASSK,1170204,MAB_BRASSK_1170204
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170217.vcf.gz,1170217,MAB_BRASSK,1170217,MAB_BRASSK_1170217
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170223.vcf.gz,1170223,MAB_BRASSK,1170223,MAB_BRASSK_1170223
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170227.vcf.gz,1170227,MAB_BRASSK,1170227,MAB_BRASSK_1170227
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170228.vcf.gz,1170228,MAB_BRASSK,1170228,MAB_BRASSK_1170228
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170234.vcf.gz,1170234,MAB_BRASSK,1170234,MAB_BRASSK_1170234
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170242.vcf.gz,1170242,MAB_BRASSK,1170242,MAB_BRASSK_1170242
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170253.vcf.gz,1170253,MAB_BRASSK,1170253,MAB_BRASSK_1170253
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170256.vcf.gz,1170256,MAB_BRASSK,1170256,MAB_BRASSK_1170256
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//1170264.vcf.gz,1170264,MAB_BRASSK,1170264,MAB_BRASSK_1170264
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120008.vcf.gz,120008,SeminThermoSSK,120008,SeminThermoSSK_120008
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120009.vcf.gz,120009,SeminThermoSSK,120009,SeminThermoSSK_120009
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120020.vcf.gz,120020,SeminThermoSSK,120020,SeminThermoSSK_120020
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//120021.vcf.gz,120021,SeminThermoSSK,120021,SeminThermoSSK_120021
